vlsr,spec_nearest,spec_0,spec_1,spec_2,spec_3,spec_4,spec_5,spec_6,spec_7,spec_8,spec_9,spec_10,spec_11
-9.89369222138636,6.066617894016839,9.719619460095506,6.167613773304391,4.825638011649798,4.714861189358114,9.323500276910465,7.475610841073761,7.696440592830215,8.565635476496746,6.426889474615296,6.375002007079281,5.854295213238081,9.304449753563917
-9.796827395694342,6.083048499487584,9.415037165539974,6.02133182866381,4.29603724126462,4.562454707741996,10.611823690742723,7.522105894317295,7.454676563703414,8.793736073446173,6.840492025180065,6.4614695785871525,5.267239555034756,10.445338446590128
-9.699962570002324,6.02128705947227,9.113806007734308,5.908745909048842,3.7801073532478418,4.464503855487104,11.64186886556787,7.486347472745601,7.333211630777604,8.846460513819263,7.132504653307342,6.611316786872023,4.6222728392705665,11.245443527994576
-9.603097744310308,5.563352588994306,8.829553942794632,5.966886516230299,3.3334432692309566,4.64246152532906,11.36330429609045,7.033838112110141,7.821262118603414,8.010612427539026,6.808461674418061,7.082287488160315,3.6838900985313816,10.318911643848947
-9.50623291861829,5.105418118516333,8.54530187785495,6.025027123411758,2.8867791852140634,4.82041919517102,11.084739726613023,6.581328751474673,8.309312606429234,7.174764341258775,6.484418695528775,7.5532581894486155,2.74550735779218,9.392379759703303
-9.409368092926272,4.647483648038361,8.26104981291527,6.083167730593216,2.4401151011971702,4.99837686501298,10.806175157135598,6.128819390839205,8.797363094255054,6.338916254978523,6.1603757166394875,8.024228890736916,1.807124617052978,8.465847875557658
-9.312503267234256,4.189549177560396,7.976797747975592,6.1413083377746736,1.993451017180285,5.176334534854936,10.527610587658177,5.676310030203744,9.285413582080865,5.503068168698286,5.836332737750207,8.495199592025207,0.8687418763137935,7.539315991412031
-9.215638441542238,3.971827874775872,7.746049440504426,6.222274116441326,1.7702183754616145,5.261243121556441,10.30635375187029,5.212723302945049,9.507854552829892,4.896529866719344,5.773633838479116,8.862384959243725,0.1940402511937967,6.831264718165882
-9.11877361585022,5.501111427942971,7.904419369167758,6.469241142272959,3.171941677729343,4.669431103600373,10.501880433824335,4.668573909335645,7.798589944839411,5.957699086931058,7.611619154612295,8.474767896864135,1.4370194669399476,7.712163342369961
-9.021908790158204,7.030394981110042,8.062789297831086,6.716208168104587,4.573664979997046,4.077619085644316,10.697407115778375,4.124424515726251,6.089325336848962,7.018868307142752,9.44960447074544,8.087150834484552,2.679998682686076,8.593061966574023
-8.925043964466186,8.55967853427714,8.22115922649442,6.96317519393622,5.975388282264774,3.485807067688248,10.892933797732422,3.5802751221168476,4.3800607288584805,8.080037527354467,11.287589786878618,7.699533772104962,3.9229778984322268,9.473960590778102
-8.828179138774168,10.08896208744424,8.379529155157751,7.210142219767852,7.377111584532503,2.89399504973218,11.088460479686466,3.036125728507444,2.6707961208679993,9.14120674756618,13.125575103011798,7.311916709725372,5.1659571141783776,10.35485921498218
-8.73131431308215,11.556869058048026,8.56187683097158,7.567456515526204,8.649945080410161,2.4054379307366682,11.176422590783478,2.6133029538821577,1.2368200308357231,10.027142093591957,14.745000720803253,6.99610637008235,6.337322412752639,11.10254486765477
-8.634449487390134,12.288257037892059,9.031957472591358,9.248938050405128,8.376100899607009,3.1559395992677954,9.973609851596148,3.646399607066233,3.1063061563018053,8.810270949386567,13.741709958494102,7.541976703278118,6.649320705264222,10.251674861949516
-8.537584661698116,13.019645017736106,9.502038114211144,10.930419585284083,8.10225671880385,3.906441267798937,8.770797112408795,4.679496260250327,4.975792281767921,7.5933998051811535,12.738419196184934,8.087847036473898,6.961318997775811,9.400804856244246
