vlsr,spec_nearest,spec_0,spec_1,spec_2,spec_3,spec_4,spec_5,spec_6,spec_7,spec_8,spec_9,spec_10,spec_11,spec_12,spec_13,spec_14,spec_15,spec_16,spec_17,spec_18,spec_19
38.26301968808046,0.3205159802845021,1.2907096772831914,2.644088859538476,-0.27448244707519454,-0.4735165950006017,-0.642669989993718,1.6603305512878914,0.7946306505636884,-0.23309731762946095,0.5049178429629421,1.4556517650359573,1.7469347609105403,-2.798420093141776,-1.1957310429449544,-2.5639897913598713,0.41487635079759433,0.08131812782976366,-0.43990919938094075,0.9753551035015073,-2.7672806155383793,-0.258174674165995
38.456927341263366,0.3527488628482118,1.397075970923299,2.5784647501954367,0.004081505290693177,-0.760881417196038,-0.7957250994353935,1.5458258843295187,0.54552845388914,0.0020325307052097286,0.46961450755434503,1.3466724980586986,1.8644459294757418,-2.533272173495946,-0.8112853687160873,-2.5466742436139036,0.48632150616554615,0.19400285289806485,-0.21142361561984277,0.8752279691374336,-2.828641584611543,-0.062068815433353075
38.650834994446285,0.2004969056246321,1.2345858193881953,2.191586226045337,0.5110567405512931,-0.7238447981402157,-0.7309924986448039,1.0790509412484774,0.2675738924341969,0.4790527610180937,0.48801654020629526,1.176293988208106,1.7296750068020836,-2.106735226551893,-0.03699122820586842,-2.095908027977312,0.3295118088257398,0.13012727879249517,0.018277556747093415,0.39272938200947627,-2.3598170261939404,0.27447621526665217
38.84474264762919,0.04824494840106358,1.0720956678531037,1.804707701895266,1.018031975811856,-0.6868081790843963,-0.666259897854219,0.6122759981674706,-0.010380669020725874,0.9560729913309426,0.5064185728582441,1.005915478357526,1.5949040841284354,-1.6801982796078707,0.7373029123042936,-1.6451418123407537,0.172702111485945,0.0662517046869302,0.2479787291140128,-0.08976920511844577,-1.890992467776372,0.6110212459666329
39.03865030081211,-0.10400700882251612,0.9096055163180001,1.4178291777451661,1.5250072110724557,-0.6497715600285742,-0.6015272970636294,0.14550105508642952,-0.2883352304756689,1.4330932216438268,0.5248206055101943,0.8355369685069335,1.4601331614547775,-1.2536613326638175,1.5115970528145126,-1.1943755967041623,0.015892414146138734,0.0023761305813605194,0.477679901480949,-0.5722677922464032,-1.4221679093587696,0.9475662766666382
39.23255795399501,-0.25625896604608456,0.7471153647829085,1.0309506535950947,2.0319824463330183,-0.6127349409727547,-0.5367946962730445,-0.32127388799457735,-0.5662897919305915,1.9101134519566756,0.5432226381621432,0.6651584586563535,1.3253622387811292,-0.8271243857197954,2.285891193324675,-0.7436093810676039,-0.14091728319365615,-0.06149944352420447,0.7073810738478683,-1.0547663793743252,-0.9533433509412017,1.2841113073666186
39.42646560717793,-0.2612733141689374,0.6904813934388551,0.8152066314885318,2.249706473172269,-0.5236301807329635,-0.3682747971210627,-0.4453979835733304,-0.7408335157862488,1.875482734060454,0.44314786529411765,0.509617144243005,1.284180575600228,-0.5042100810163882,2.4833761780329837,-0.3321316463529592,-0.269760972769222,0.09721017574823472,0.8596772964152108,-1.3171449421458647,-0.5208724924155517,1.2445427138741911
39.620373260360836,-0.07220172302268318,0.7733851141648028,0.8250489984393355,2.0861448161834266,-0.36589014347795856,-0.06294436831091749,-0.11784596199004355,-0.7790629537155849,1.1664030389796198,0.1868991215134307,0.3736339510878498,1.3663665726597614,-0.31788925926656086,1.9205218210025268,0.027556727146370252,-0.3617403793828314,0.5493275499279875,0.9099397215194588,-1.2893652909930646,-0.13632242011113493,0.7091879794009168
39.81428091354374,0.11686986812357109,0.8562888348907506,0.8348913653901394,1.9225831591945843,-0.2081501062229536,0.24238606049922778,0.2097060595932433,-0.8172923916449208,0.4573233438987856,-0.06934962226725627,0.23765075793269458,1.4485525697192945,-0.13156843751673358,1.35766746397207,0.3872451006456997,-0.4537197859964408,1.0014449241077406,0.9602021466237067,-1.2615856398402643,0.2482276521932817,0.17383324492764252
40.00818856672666,0.3059414592698391,0.9391925556167044,0.844733732340944,1.75902150220573,-0.05041006896793698,0.5477164893093953,0.5372580811765542,-0.8555218295742598,-0.2517563511821006,-0.325598366047962,0.10166756477752942,1.5307385667788338,0.054752384233107354,0.7948131069415718,0.7469334741450557,-0.545699192610057,1.4535622982875265,1.0104645717279583,-1.2338059886874622,0.6327777244977266,-0.36152148954567087
40.20209621990956,0.4950130504160934,1.0220962763426522,0.8545760992917478,1.5954598452168876,0.10732996828706798,0.8530469181195406,0.8648101027598409,-0.8937512675035959,-0.9608360462629348,-0.581847109828649,-0.034315628377625806,1.612924563838367,0.2410732059829347,0.2319587499111151,1.1066218476443852,-0.6376785992236663,1.9056796724672795,1.0607269968322064,-1.2060263375346618,1.0173277968021432,-0.8968762240189454
40.39600387309248,0.5801736842333565,0.9743604477093305,0.8654465466373125,1.3538525246628654,0.13785720838459087,1.1147664118484053,1.0141066162510228,-0.9082116162128361,-1.242829891318394,-0.7840849354411125,-0.06864589456085127,1.479043083474974,0.4997130169799767,0.10848285668510615,1.2598875684279023,-0.6540990066680867,2.0179513587024926,1.1817170077549763,-1.1444375843828212,1.149692474778659,-1.0786354808945378
40.58991152627539,0.5042723341906573,0.7241333175691376,0.8779105185947544,0.9912744255828518,-0.028795387112001664,1.308888956201232,0.8871070921993965,-0.8858298766309228,-0.8628406688344261,-0.9026058378927873,0.054585876062430844,1.0102570131060489,0.8704472613101605,0.6660435823560577,1.0931981775018613,-0.5534029654002535,1.6034622286236166,1.41233477669644,-1.0304447231324758,0.891169791546879,-0.7123217474936551
40.783819179458305,0.4283709841479526,0.4739061874289261,0.8903744905521973,0.6286963265028117,-0.19544798260860638,1.503011500554073,0.760107568147761,-0.8634481370490079,-0.4828514463504303,-1.0211267403444708,0.17781764668572203,0.5414709427370898,1.2411815056403714,1.22360430802705,0.9265087865758079,-0.4527069241324129,1.18897309854471,1.6429525456379204,-0.916451861882122,0.63264710831508,-0.3460080140927455
40.97772683264121,0.35246963410525345,0.22367905728873316,0.9028384625096393,0.2661182274227982,-0.3621005781051989,1.6971340449068997,0.6331080440961347,-0.8410663974670947,-0.10286222386646249,-1.1396476427961455,0.30104941730900414,0.07268487236816479,1.6119157499705552,1.7811650336980016,0.759819395649767,-0.35201088286457977,0.7744839684658336,1.873570314579384,-0.8024590006317766,0.3741244250832999,0.02030571930813707
