id,sbid,uniq_name,comp_name,component_id,ra,dec,glon,glat,rating,flux_peak,flux_int,mean_cont,sd_cont,opacity_range,max_s_max_n,max_noise,num_chan_noise,min_opacity,vel_min_opacity,peak_tau,e_peak_tau,has_mw_abs,has_other_abs,semi_maj_axis,semi_min_axis,pa,n_h,noise_flag,continuum_slope,mwdet
0,38758,J040848-750719-38758,J040848-750719,SB38758_component_1a,62.201611,-75.122054,288.97723612383857,-36.12743290142625,A,9939.6416015625,14466.7548828125,0.0494462073121855,0.0018697464143271,0.2012521332239643,27.451211124035314,1.007073587565274,126.0,0.8058214543413098,0.6038520639602357,0.2158930816831862,0.0031013774555168,True,False,5.735000133514404,4.875,110.4499969482422,2.667040534119612e+20,False,0.0015592965077915,True
1,38758,J043535-745157-38758,J043535-745157,SB38758_component_2a,68.896025,-74.865834,287.651824026418,-34.748772301061464,A,529.239013671875,487.4020080566406,0.0047561577464476,0.0056282539617551,0.261288925822446,13.431207013564324,1.0181058261846605,108.0,0.7568169003622143,3.651616877254506,0.2786339301483888,0.010550144711332,True,False,4.739999771118164,3.7300000190734863,53.7599983215332,4.130695516604109e+20,False,0.0020938285854862,True
9,38758,J040930-753342-38758,J040930-753342,SB38758_component_4a,62.377539,-75.561866,289.40115207097534,-35.84857311219919,A,422.1289978027344,487.2369995117188,0.0026000205742581,0.010046790454988,0.2157346673632986,6.731376380253171,1.0279037854002695,41.0,0.8121691180369711,2.813478752272844,0.2080466870618162,0.017382421753784,True,False,4.989999771118164,4.445000171661377,59.90999984741211,3.490458891505791e+20,False,0.0003751833294159,True
11,38758,J043704-714819-38758,J043704-714819,SB38758_component_5a,69.267886,-71.805502,284.1930174663911,-35.93982866730022,A,421.1919860839844,469.3259887695313,0.0022197937913716,0.0113040843557211,0.4302473848497048,15.3893915244441,1.0262515776871892,49.0,0.5960041928374844,1.577686387298716,0.5175075769793104,0.0295884156746121,True,False,4.994999885559082,4.28000020980835,53.79999923706055,9.550345859871711e+19,False,0.0022603642865917,True
12,38758,J040541-710449-38758,J040541-710449,SB38758_component_6a,61.422521,-71.080453,284.84018703073605,-38.4860048574138,A,309.2829895019531,279.7850036621094,0.0025595444689005,0.0146630849391123,0.3610876173967613,6.531396645993313,1.047944310248068,77.0,0.6868566928513066,7.010924261551234,0.3756296069891884,0.0275782053786451,True,False,4.619999885559082,3.759999990463257,65.9800033569336,1.0989657520692149e+20,False,0.0024145336402652,True
16,38758,J042349-724413-38758,J042349-724413,SB38758_component_7a,65.954566,-72.737084,285.7752930975382,-36.44410262426733,A,343.75,397.5899963378906,0.0021004947491569,0.0119860354796297,0.3459501373662969,8.717705197610151,1.035599982746068,94.0,0.6896498453797711,0.6120318553583638,0.3715712806616467,0.0254638539144347,True,False,5.09499979019165,4.360000133514404,56.15999984741211,1.7855633164097733e+20,False,0.0022858334872773,True
21,38758,J040400-710907-38758,J040400-710907,SB38758_component_8b,61.002753,-71.151987,285.00937119599485,-38.56382118444266,A,112.9260025024414,80.98200225830078,0.0025122126056131,0.0139462247446261,0.3000027183353585,5.314686731486416,1.0475087254668516,86.0,0.7475060071314931,7.115412628644059,0.2910129374532746,0.0240873561042044,True,False,4.385000228881836,3.140000104904175,84.94000244140625,1.2197740862665862e+20,False,0.0007106943166529,True
26,38758,J032834-745053-38758,J032834-745053,SB38758_component_10a,52.142054,-74.848222,290.7531805246976,-38.32998579980193,A,248.61599731445312,270.81201171875,0.0014459602293422,0.0294421757799653,0.7928462057682523,6.910827211350594,1.100222920383176,114.0,0.3073767146149236,1.2413909462171142,1.1796812002102657,0.1268210664177327,True,False,5.03000020980835,4.159999847412109,37.619998931884766,3.828455358174872e+20,False,0.0029563382338109,True
28,38758,J040659-733405-38758,J040659-733405,SB38758_component_11a,61.748581,-73.568218,287.4379457407786,-37.07738547416566,A,213.1219940185547,226.6840057373047,0.0013683769183244,0.0164952409762101,0.41093944831682,3.4484374119503585,1.09237838149928,264.0,0.68143893318246,4.580108719891999,0.3835486383425341,0.0335835485532855,True,False,4.965000152587891,4.114999771118164,47.13999938964844,2.974114829494739e+20,False,0.0141191372875003,True
35,38758,J044848-741731-38758,J044848-741731,SB38758_component_13a,72.201831,-74.292009,286.58073578965895,-34.18155612612472,B,215.89599609375,280.9859924316406,0.0010062749944797,0.0185045398669193,0.1669690037917733,1.818403756975435,1.059242400375933,102.0,0.8922733965841599,5.893833775930587,0.1139826949504354,0.027019629423006,True,False,5.824999809265137,4.289999961853027,49.02000045776367,4.010016625490512e+20,False,0.0017360353552511,True
36,38758,J040749-721622-38758,J040749-721622,SB38758_component_14a,61.955598,-72.272869,286.01854204582816,-37.71779837900491,A,204.45199584960935,251.8650054931641,0.0010926417048833,0.0187905782573037,0.9642283079437468,17.39401221380857,1.0524207713214353,73.0,0.0881924633776883,6.687394831103957,2.428233768852943,0.2545423976903649,True,False,5.264999866485596,4.489999771118164,44.09000015258789,1.1613186977460463e+20,False,0.0032128654436055,True
39,38758,J040914-714206-38758,J040914-714206,SB38758_component_16a,62.309934,-71.701774,285.32905960663,-37.92153259445245,A,123.1709976196289,101.75399780273438,0.0014582165238651,0.0205835390268221,0.2043150769938891,3.173350549886559,1.0489570848534262,51.0,0.844642007859537,6.288008554961881,0.1688424007317616,0.0324427325129314,True,False,4.46999979019165,3.5450000762939453,61.20000076293945,1.0552676241526456e+20,False,0.0008885479493222,True
47,38758,J040828-741614-38758,J040828-741614,SB38758_component_18c,62.119987,-74.270564,288.105694695147,-36.61014912750566,A,54.97999954223633,45.64799880981445,0.0011370637139629,0.0205025879248049,0.8467798790646566,10.714829801369993,1.0722827299604156,74.0,0.225502850895759,5.946345296495579,1.4894224775660654,0.1252867731748843,True,False,4.195000171661377,3.799999952316284,70.38999938964844,2.6829900496762156e+20,False,0.0052186017527403,True
51,38758,J034610-725052-38758,J034610-725052,SB38758_component_20a,56.545588,-72.847877,287.7980842020585,-38.71906592084633,B,114.70500183105467,125.14299774169922,0.0007937534945795,0.0380821995381584,0.2027640182828763,1.0981939819560178,1.096637403417701,53.0,0.8938733851348247,189.5454296478245,0.1121911412046932,0.0417293858761299,False,False,5.090000152587891,4.114999771118164,42.869998931884766,2.668838008333997e+20,False,0.0003198963999687,False
52,38758,J034609-725056-38758,J034609-725056,SB38758_component_20b,56.541443,-72.84909,287.8002739305782,-38.71928191139238,B,57.28799819946289,61.65800094604492,0.0007870835521849,0.0411649920064345,0.2267545081315418,1.3377996295800727,1.0969948430406211,53.0,0.8702403349090795,189.5467357803516,0.1389858584607602,0.0462275458916411,False,False,4.880000114440918,4.235000133514404,43.130001068115234,2.668838008333997e+20,False,0.0008659770891807,False
53,38758,J043443-744229-38758,J043443-744229,SB38758_component_21a,68.681372,-74.708127,287.5095628479113,-34.86877509400631,A,131.31500244140625,151.9770050048828,0.0007476634253668,0.0291946117010877,0.4305277847351296,4.401391016621085,1.0797068354078263,81.0,0.6491790506726969,3.5668170852756886,0.4320467133129301,0.062439132817172,True,False,5.324999809265137,4.170000076293945,49.650001525878906,3.443959602525982e+20,False,0.0015681116655207,True
55,38758,J043744-722749-38758,J043744-722749,SB38758_component_22a,69.435758,-72.46371,284.9095796733832,-35.626805556136965,A,124.98899841308594,129.98800659179688,0.0007884672590213,0.0291082618951941,0.4701996840470368,3.818112499169552,1.09759001769429,142.0,0.6273903336472533,1.9958257552220893,0.4661863903457573,0.0688008550029343,True,False,4.84499979019165,4.119999885559082,59.630001068115234,1.2908765071721189e+20,False,0.0018603934776789,True
64,38758,J043209-735432-38758,J043209-735432,SB38758_component_26a,68.039527,-73.909135,286.7274945771609,-35.37802919497322,A,112.2310028076172,121.74700164794922,0.0006546431196933,0.034043949463163,0.8326199205133888,4.577399136322021,1.1492846217677106,136.0,0.3166647012543218,5.054931664721211,1.149911789640221,0.145263136267564,True,False,4.929999828338623,4.224999904632568,50.709999084472656,1.763675046174602e+20,False,0.0140833375182314,True
68,38758,J040748-705711-38758,J040748-705711,SB38758_component_27a,61.952593,-70.953109,284.5870660122434,-38.40448031762018,B,102.52899932861328,100.46099853515624,0.0007913823955743,0.0443171260149531,0.3934793750976348,1.6863542404594511,1.146473376136104,74.0,0.752994001038469,2.9479973104448,0.2836980179623593,0.0753964559765125,False,False,4.755000114440918,3.954999923706055,56.970001220703125,1.417914920139356e+20,False,0.0004670176426023,False
71,38758,J043453-723955-38758,J043453-723955,SB38758_component_28b,68.720778,-72.665431,285.2446842555679,-35.7385888691609,B,53.0629997253418,62.77299880981445,0.0005149267448492,0.0486798373081131,0.4797934096403994,1.9022513653253468,1.1653176617893033,77.0,0.6855242521489039,1.2294727895636024,0.3775714018325639,0.1017135385243737,True,False,5.135000228881836,4.420000076293945,64.33999633789062,1.383153968118167e+20,False,0.0022466620045553,True
