id,sbid,uniq_name,comp_name,component_id,ra,dec,glon,glat,rating,flux_peak,flux_int,mean_cont,sd_cont,opacity_range,max_s_max_n,max_noise,num_chan_noise,min_opacity,vel_min_opacity,peak_tau,e_peak_tau,has_mw_abs,has_other_abs,semi_maj_axis,semi_min_axis,pa,n_h,noise_flag,continuum_slope,mwdet
7,33047,J053528-691612-33047,J053528-691612,SB33047_component_2a,83.866885,-69.270004,279.7037201930967,-31.93698459523556,A,720.1799926757812,848.9500122070312,0.0035305189170374,0.0053008390767807,0.4201858691237535,15.470554970898943,1.0255113364343922,114.0,0.6053254673106386,263.7656414777062,0.5019890031043212,0.0124546986823068,True,True,5.139999866485596,4.014999866485596,77.05000305175781,3.3604076478033523e+21,False,-0.0030888059174944,True
8,33047,J060005-703833-33047,J060005-703833,SB33047_component_3a,90.021003,-70.642513,281.0853054944079,-29.71959533432598,B,343.6470031738281,358.7659912109375,0.0028253360083553,0.0099054430749816,0.1036096138693726,2.262490888408584,1.0317578247459605,114.0,0.9281482108765878,-2.6312241308454687,0.074563848951897,0.0131537243599453,True,False,4.804999828338623,3.809999942779541,76.04000091552734,2.859385896286317e+20,False,0.0010833104229756,True
12,33047,J060006-703853-33047,J060006-703853,SB33047_component_3e,90.025923,-70.648065,281.091616437025,-29.717739649451637,B,27.23900032043457,30.006000518798828,0.000290280698675,0.0714834756108315,0.4861281720623466,1.1293287767613565,1.22830113290524,70.0,0.7421729608428934,238.73398746034565,0.2981729621121092,0.0920785118529926,False,False,5.114999771118164,3.7699999809265137,80.5199966430664,2.859385896286317e+20,False,-0.002890091606817,False
15,33047,J051832-693524-33047,J051832-693524,SB33047_component_4b,79.634843,-69.590178,280.3720494493299,-33.34970940863784,A,107.9800033569336,135.90899658203125,0.0017150035069789,0.0101700497441185,0.6029262512921949,15.654724867586898,1.036201513749747,95.0,0.4332752624575518,218.2993410445154,0.8363820428940645,0.0246190581869736,True,True,5.614999771118164,3.930000066757202,80.63999938964844,1.885978544279397e+21,False,-0.0016120879992724,True
17,33047,J060111-703609-33047,J060111-703609,SB33047_component_5a,90.297269,-70.602632,281.0353961024907,-29.62952868925241,B,331.52801513671875,370.8980102539063,0.0023155301261307,0.0108882135894847,0.1416592888494368,2.1511692438577468,1.0449545162087244,103.0,0.9032952273592876,-7.481510005416727,0.1017058384013649,0.014531987256266,True,False,4.989999771118164,3.924999952316284,81.22000122070312,2.9760605803438834e+20,False,0.0013991781642792,True
18,33047,J051641-714905-33047,J051641-714905,SB33047_component_6a,79.172856,-71.818332,283.00944173409107,-33.00966382037699,A,310.2539978027344,346.0950012207031,0.0020659914064198,0.017886863530427,0.513804012690359,12.214720671784224,1.0388811860236609,68.0,0.5250771733333018,231.59565882870476,0.6442100303681512,0.039466775730549,False,True,4.985000133514404,3.920000076293945,70.87999725341797,1.0207456178113536e+21,False,-0.0020930335504681,False
19,33047,J061024-711917-33047,J061024-711917,SB33047_component_7a,92.603088,-71.321644,281.8416621212846,-28.86300955587048,B,206.3119964599609,209.97000122070312,0.0018307146870938,0.0189555232504011,0.1666809752992751,1.502577161133732,1.06660373070126,107.0,0.899922755401985,3.334576146212028,0.1054463466723302,0.0255395119188416,True,False,4.880000114440918,3.6549999713897705,82.45999908447266,1.5882542730737605e+20,False,0.0015555173656443,True
22,33047,J061030-700235-33047,J061030-700235,SB33047_component_8a,92.626093,-70.043147,280.381893765401,-28.853263409072543,B,240.4499969482422,267.31500244140625,0.0007159706193062,0.0324164990904064,0.2916262100898493,1.1999750841305152,1.132558869504246,174.0,0.8409326594143965,5.324864010658217,0.1732436942550825,0.0433199902973675,True,False,5.059999942779541,3.849999904632568,82.51000213623047,2.1641147284171047e+20,False,0.001222681958076,True
24,33047,J051637-723710-33047,J051637-723710,SB33047_component_9b,79.154868,-72.619704,283.93777482396433,-32.822801208715,B,26.44700050354004,49.78900146484375,0.0004412071591615,0.0523319280092935,0.3708170794001741,1.1771186950979955,1.1703246957711155,67.0,0.7995076163709414,184.5621584757774,0.2237592203358164,0.063497582740339,False,True,7.820000171661377,4.215000152587891,100.69000244140624,7.76961467282668e+20,False,0.0019062064953052,False
25,33047,J052340-705019-33047,J052340-705019,SB33047_component_10a,80.920379,-70.838815,281.7276388036243,-32.67432553693909,A,217.21800231933597,327.1440124511719,0.0009364089108691,0.0146769919437195,0.3133725745215464,7.716226046549014,1.03595278195494,54.0,0.7225802074333937,222.14597916363584,0.3249268514084782,0.0236075382878169,True,True,5.429999828338623,4.860000133514404,34.040000915527344,7.418138710533817e+20,False,-0.0008247455545615,True
26,33047,J052341-705122-33047,J052341-705122,SB33047_component_10b,80.92098,-70.856253,281.74790944750794,-32.670724228065005,B,211.63699340820312,366.489013671875,0.0009177791497034,0.0138312127668954,0.1360267293575953,2.1060349391759288,1.0437943332967416,87.0,0.9077676039391464,228.98363238320545,0.0967668759380884,0.0181784140368483,False,True,5.960000038146973,5.090000152587891,7.840000152587891,7.418138710533817e+20,False,0.0008369477622735,False
33,33047,J054427-715528-33047,J054427-715528,SB33047_component_14a,86.112852,-71.924537,282.6807149937795,-30.866950171540275,A,166.9199981689453,171.9510040283203,0.0013880496447133,0.0250754325756928,0.4154928835609685,5.298564552984955,1.0659662816925584,80.0,0.6504733981315899,6.514735484480742,0.4300548763598767,0.0456804142527814,True,True,4.945000171661377,3.650000095367432,87.76000213623047,1.779659010537806e+21,False,0.0007864949667787,True
36,33047,J055206-681440-33047,J055206-681440,SB33047_component_15a,88.024816,-68.244455,278.3525709826351,-30.528242472570117,A,180.2079925537109,196.55499267578125,0.001207591312733,0.023161122238951,0.4712769738822355,6.390743745394412,1.0637658387460551,88.0,0.5924888648638196,282.991766063082,0.5234231996282359,0.050663385772562,False,True,4.885000228881836,3.910000085830689,80.80000305175781,1.5180689029008885e+21,False,-0.0029757678333009,False
37,33047,J055206-681500-33047,J055206-681500,SB33047_component_15b,88.025639,-68.249966,278.358943470487,-30.5276650112638,B,24.117000579833984,36.70899963378906,0.0001493034849817,0.1214354224029317,0.8190976987581414,1.127536022147374,1.3849982751085954,88.0,0.565900576350454,291.78541465960427,0.5693368763672152,0.2279826934002476,False,False,5.519999980926514,4.829999923706055,71.9000015258789,1.5180689029008885e+21,False,-0.0064743314036236,False
39,33047,J052635-674909-33047,J052635-674909,SB33047_component_16a,81.647252,-67.819184,278.1360924220698,-32.94348937989003,A,167.29100036621094,187.41000366210935,0.0011014624483877,0.0273346057080245,1.0384574494815924,11.207918272226784,1.0850642530794214,76.0,0.0466068035978289,293.09109563433043,3.066008748554081,0.5365245714107987,False,True,5.03000020980835,3.9049999713897705,74.45999908447266,2.0303724895825096e+21,False,-0.0166970005277284,False
40,33047,J053845-690509-33047,J053845-690509,SB33047_component_17a,84.689575,-69.085994,279.4471037123525,-31.66900298578808,A,108.18499755859376,1190.333984375,0.0001513566363073,0.0094514967040012,0.5364671688463006,11.409900753555773,1.043228965283432,133.0,0.5067617964371315,259.00348299526905,0.6797142153079827,0.0289967544472139,True,True,15.135000228881836,12.734999656677246,150.1699981689453,4.6349343509286224e+21,False,-0.0140835704691597,True
41,33047,J053851-690457-33047,J053851-690457,SB33047_component_17b,84.715121,-69.082713,279.44206150354177,-31.660312940624465,A,100.49400329589844,6738.4638671875,4.0244063822639166e-05,0.0075479010481983,0.6941610972222669,26.377530862949666,1.0253551388800253,132.0,0.3311940416577583,253.1437522684049,1.105050846796631,0.0346371156148013,True,True,51.80500030517578,22.674999237060547,120.69000244140624,5.00183506985589e+21,False,-0.0172222108966809,True
48,33047,J052951-674931-33047,J052951-674931,SB33047_component_20a,82.465054,-67.825506,278.0908611938009,-32.63707349704576,B,140.6280059814453,143.89199829101562,0.0012095444246547,0.0237837105453075,0.1622870079439643,1.0200997833701566,1.0803361345216418,114.0,0.9180491265776776,238.46292413119667,0.0855043750030135,0.0261255804872089,False,False,4.835000038146973,3.7100000381469727,76.80999755859375,1.5124475458857554e+21,False,-0.0012482692691056,False
49,33047,J052951-674938-33047,J052951-674938,SB33047_component_20b,82.464473,-67.827363,278.09308127950663,-32.63703686186251,B,61.803001403808594,77.01799774169922,0.0007561949871781,0.0254069027946047,0.2014465460543134,0.9245852107017402,1.1046701101796694,103.0,0.903223564125356,238.462518256502,0.1017851768885226,0.0283352046071963,False,True,5.150000095367432,4.239999771118164,73.5199966430664,1.5124475458857554e+21,False,-7.902844404715379e-05,False
51,33047,J053657-691329-33047,J053657-691329,SB33047_component_21a,84.238142,-69.224771,279.63140849563405,-31.812164037339027,A,154.3350067138672,174.84100341796875,0.0008940502057823,0.0292001739454797,1.0748742436266956,9.5761761583946,1.101631650941587,97.0,0.0267574073148914,250.13371511946755,3.620943935004429,0.9931630416199512,False,True,5.074999809265137,3.910000085830689,76.77999877929688,4.425588280597635e+21,False,-0.0249994855700476,False
