id,comp_name,component_id,ra,dec,glon,glat,rating,flux_peak,flux_int,mean_cont,sd_cont,opacity_range,max_s_max_n,max_noise,num_chan_noise,min_opacity,vel_min_opacity,peak_tau,e_peak_tau,has_mw_abs,has_other_abs,semi_maj_axis,semi_min_axis,pa,n_h,noise_flag,continuum_slope,field,all_sbids,sbid,mwdet
74,J035201-724532,SB38758_component_30a,58.005238,-72.759147,287.37407921102545,-38.42887696849284,B,115.89700317382812,127.37000274658205,0.0006472648095861,0.0350683394642528,0.2090548543258149,1.283259924595031,1.0915598141385037,82.0,0.8825049598126887,4.597865428520483,0.1249908700061285,0.0502556587723091,False,False,5.034999847412109,4.190000057220459,46.93000030517578,1.706423358629534e+20,False,0.004209213383521,M355-02,"38466,38758",38758,False
151,J035037-724918,SB38758_component_74a,57.655247,-72.821735,287.5170413212348,-38.47476132901958,B,48.165000915527344,55.34000015258789,0.0003213670632515,0.053058754415295,0.5315619778213047,1.2999912777290654,1.231114779855231,137.0,0.6995528020339264,6.63913229386686,0.3573140023303031,0.0875160056942613,False,False,4.909999847412109,4.494999885559082,36.220001220703125,1.7914482750180632e+20,False,0.0026000994789228,M355-02,"38466,38758",38758,False
150,J035322-720823,SB38758_component_73b,58.343928,-72.139747,286.65618037212136,-38.71001632094395,B,52.89599990844727,63.435001373291016,0.0003968602807329,0.0580693157729466,0.3734245742004112,1.207293751374534,1.1691775614223847,82.0,0.7957529872219735,253.36257782673533,0.2284664588565461,0.07090725504238,False,False,5.289999961853027,4.355000019073486,43.04999923706055,3.636308746858456e+19,False,0.0010879252220338,M355-02,"38466,38758",38758,False
206,J034224-731437,SB38758_component_107b,55.602184,-73.243713,288.4143625287206,-38.68664591527137,B,30.900999069213867,43.92300033569336,0.0001389780952261,0.1355360190907256,0.8443389824372818,0.9969217526313764,1.422820263901018,75.0,0.5784812814637361,-110.07866282605625,0.5473490898922406,0.2105010034245686,False,False,5.934999942779541,4.599999904632568,48.7400016784668,3.776842706770721e+20,False,0.00309143982157,M355-02,"38466,38758",38758,False
152,J035027-724810,SB38758_component_74b,57.616213,-72.802779,287.506473755354,-38.49535145663198,B,31.738000869750977,36.1879997253418,0.0002222592119346,0.0852215887415905,0.6085793785588561,1.0475524018242008,1.297222858871237,166.0,0.6886434803123805,3.702240882384504,0.3730315870093165,0.1494005104527999,False,False,4.889999866485596,4.474999904632568,33.91999816894531,1.7914482750180632e+20,False,0.0025719843440569,M355-02,"38466,38758",38758,False
248,J035056-713649,SB38758_component_134a,57.736652,-71.613815,286.24924767906515,-39.17056121811406,B,30.218000411987305,40.45800018310547,0.0001496809644688,0.148555295666148,0.9551842392391516,1.03190788272555,1.470092294714607,93.0,0.5149080554754549,-53.68225893370782,0.6637669273146933,0.2535779972819,False,False,5.34499979019165,4.809999942779541,71.94000244140625,5.2196487148180726e+19,False,-0.0023331457843983,M355-02,"38466,38758",38758,False
0,J040848-750719,SB38758_component_1a,62.201611,-75.122054,288.97723612383857,-36.12743290142625,A,9939.6416015625,14466.7548828125,0.0494462073121855,0.0018697464143271,0.2012521332239643,27.451211124035314,1.007073587565274,126.0,0.8058214543413098,0.6038520639602357,0.2158930816831862,0.0031013774555168,True,False,5.735000133514404,4.875,110.4499969482422,2.667040534119612e+20,False,0.0015592965077915,M355-02,38758,38758,True
1,J043535-745157,SB38758_component_2a,68.896025,-74.865834,287.651824026418,-34.748772301061464,A,529.239013671875,487.4020080566406,0.0047561577464476,0.0056282539617551,0.261288925822446,13.431207013564324,1.0181058261846605,108.0,0.7568169003622143,3.651616877254506,0.2786339301483888,0.010550144711332,True,False,4.739999771118164,3.7300000190734863,53.7599983215332,4.130695516604109e+20,False,0.0020938285854862,M355-02,38758,38758,True
11,J043704-714819,SB38758_component_5a,69.267886,-71.805502,284.1930174663911,-35.93982866730022,A,421.1919860839844,469.3259887695313,0.0022197937913716,0.0113040843557211,0.4302473848497048,15.3893915244441,1.0262515776871892,49.0,0.5960041928374844,1.577686387298716,0.5175075769793104,0.0295884156746121,True,False,4.994999885559082,4.28000020980835,53.79999923706055,9.550345859871711e+19,False,0.0022603642865917,M355-02,"38758,38814",38758,True
16,J042349-724413,SB38758_component_7a,65.954566,-72.737084,285.7752930975382,-36.44410262426733,A,343.75,397.5899963378906,0.0021004947491569,0.0119860354796297,0.3459501373662969,8.717705197610151,1.035599982746068,94.0,0.6896498453797711,0.6120318553583638,0.3715712806616467,0.0254638539144347,True,False,5.09499979019165,4.360000133514404,56.15999984741211,1.7855633164097733e+20,False,0.0022858334872773,M355-02,38758,38758,True
28,J040659-733405,SB38758_component_11a,61.748581,-73.568218,287.4379457407786,-37.07738547416566,A,213.1219940185547,226.6840057373047,0.0013683769183244,0.0164952409762101,0.41093944831682,3.4484374119503585,1.09237838149928,264.0,0.68143893318246,4.580108719891999,0.3835486383425341,0.0335835485532855,True,False,4.965000152587891,4.114999771118164,47.13999938964844,2.974114829494739e+20,False,0.0141191372875003,M355-02,38758,38758,True
36,J040749-721622,SB38758_component_14a,61.955598,-72.272869,286.01854204582816,-37.71779837900491,A,204.45199584960932,251.8650054931641,0.0010926417048833,0.0187905782573037,0.9642283079437468,17.39401221380857,1.0524207713214353,73.0,0.0881924633776883,6.687394831103957,2.428233768852943,0.2545423976903649,True,False,5.264999866485596,4.489999771118164,44.09000015258789,1.1613186977460463e+20,False,0.0032128654436055,M355-02,38758,38758,True
