id,comp_name,component_id,ra,dec,glon,glat,rating,flux_peak,flux_int,mean_cont,sd_cont,opacity_range,max_s_max_n,max_noise,num_chan_noise,min_opacity,vel_min_opacity,peak_tau,e_peak_tau,has_mw_abs,has_other_abs,semi_maj_axis,semi_min_axis,pa,n_h,noise_flag,continuum_slope,field,all_sbids,sbid,mw_detection,saturated
0,J005611-710706,SB30665_component_1a,14.047482,-71.118446,302.37846182308533,-46.004698239991775,A,519.1300048828125,442.5079956054688,0.0033243498466795,0.0044764807964383,0.1207429020014311,5.142488877944935,1.0196569996951834,144.0,0.8989140976937523,-0.7889594268201036,0.1065678022531511,0.0056957566030139,True,True,4.800000190734863,4.215000152587891,33.869998931884766,1.2366119809346026e+21,False,0.0009232772574537,M344-11,30665,30665,True,False
8,J011049-731427,SB30665_component_3a,17.707468,-73.240921,300.99659195266406,-43.8143862223808,A,457.4809875488281,596.7449951171875,0.0016333184903487,0.0051863074859997,0.4722190573993812,23.40724717233265,1.0193474935565316,119.0,0.5471284361571505,158.55496814759942,0.6030717031030441,0.0146832992787293,True,True,5.789999961853027,5.349999904632568,54.86000061035156,4.874624237341684e+21,False,-0.0007695980751024,M344-11,30665,30665,True,False
9,J011056-731406,SB30665_component_3b,17.735945,-73.235151,300.9844364584428,-43.81926600806873,A,115.03700256347656,208.17100524902344,0.000280986263888,0.0227758743190406,0.4787559611169885,5.717873530830297,1.071265997926254,93.0,0.5925100368092655,159.53428485389887,0.5233874663538536,0.0588360747918343,False,True,7.480000019073486,5.744999885559082,39.880001068115234,4.874624237341684e+21,False,-0.0003628660108754,M344-11,30665,30665,False,False
10,J004048-714600,SB30665_component_4a,10.200474,-71.766489,304.1151611034277,-45.337318551206025,A,428.4500122070313,463.3259887695313,0.0020563312275221,0.0085730807768443,0.1133976599330949,3.477933903210494,1.0253236564862631,76.0,0.9119259965531684,0.8891984953252977,0.0921964363304665,0.0110534176404321,True,False,5.230000019073486,4.90500020980835,175.60000610351562,4.498523544199441e+20,False,0.0006788840775612,M344-11,30665,30665,True,False
11,J005732-741242,SB30665_component_5a,14.385728,-74.211897,302.36501052258194,-42.90963353176277,A,428.031005859375,461.6530151367188,0.0017202206924216,0.0082023465894222,0.5149693610273653,23.85117980160262,1.0207221292968214,65.0,0.505752768269456,139.60687179492,0.6817073293566651,0.0173429768804885,True,True,5.230000019073486,4.894999980926514,175.50999450683594,5.650006363547815e+20,False,0.0009714459397026,M344-11,30665,30665,True,False
13,J004741-753010,SB30665_component_7a,11.920932,-75.502942,303.24620369143616,-41.623018167183794,A,305.75299072265625,335.0060119628906,0.0013779874872586,0.0122830046960717,0.2836959017394412,8.138545929778989,1.0310438776496145,90.0,0.7473479759101732,-1.6329038441493904,0.2912243711099412,0.019112596429274,True,False,5.264999866485596,4.940000057220459,171.57000732421875,2.5605010289716108e+20,False,0.0009516378142574,M344-11,30665,30665,True,False
17,J001424-733911,SB30665_component_9a,3.601159,-73.653109,306.4943353680667,-43.21804746655667,A,184.3159942626953,179.48899841308594,0.0012850600696543,0.0142114661092843,0.2238624501122638,3.712036240270635,1.0475086435454508,91.0,0.823646193433187,-1.9134423941474816,0.1940142181827949,0.02026242352607,True,False,5.545000076293945,4.164999961853027,163.32000732421875,2.490386822409992e+20,False,0.0007041616369688,M344-11,30665,30665,True,False
21,J003824-742211,SB30665_component_10a,9.602613,-74.369822,304.1259054058585,-42.72821417943667,A,234.7469940185547,227.18899536132807,0.0012718974002182,0.0095953575077918,0.5398680056028031,13.739142628340074,1.0366281824673274,79.0,0.4967601768645243,149.31045867070142,0.6996479108662057,0.0247212591976072,True,True,5.110000133514404,4.494999885559082,4.599999904632568,2.3110926940949856e+21,False,0.0005350374908203,M344-11,30665,30665,True,False
24,J004327-704135,SB30665_component_11a,10.863942,-70.69326,303.88884780544925,-46.420157311486015,B,215.13699340820312,332.13800048828125,0.0007072683773003,0.012653418095128,0.0681967637266228,1.2328336399073525,1.0305426980800292,85.0,0.9623459343534064,-111.02865518472568,0.0383812938367331,0.0130637256490778,False,False,6.21999979019165,5.894999980926514,131.2100067138672,2.227711098961361e+20,False,0.000643408581696,M344-11,30665,30665,False,False
25,J004330-704147,SB30665_component_11b,10.877976,-70.696568,303.881909521917,-46.417060470492814,B,208.0110015869141,310.2380065917969,0.0007526796856836,0.0113468790305791,0.0802318213013932,1.1832639374747282,1.0367485670991266,114.0,0.9565167457977332,-2.5637551846253044,0.0444569828868294,0.013560883921683,True,False,6.15500020980835,5.75,129.22000122070312,2.227711098961361e+20,False,0.0011705031620274,M344-11,30665,30665,True,False
26,J013229-723956,SB30665_component_12a,23.123198,-72.665757,298.6908053418033,-44.12284095345295,B,138.6020050048828,138.98199462890625,0.0010836165871296,0.0238851169535709,0.2026478417292231,0.9966761991703772,1.1014925914444331,94.0,0.8988447497152102,-0.5612052985043411,0.1066449516201826,0.0299810130447392,False,False,4.960000038146973,4.800000190734863,127.02999877929688,1.0837332702089372e+21,False,0.0021000951371002,M344-06,30665,30665,False,False
28,J002919-754018,SB30665_component_13a,7.330447,-75.671738,304.75292662112105,-41.37822099850949,B,185.4770050048828,206.2059936523437,0.0003029470412357,0.0544109363684842,0.4550043697308932,0.7391337742735355,1.2616270102171732,105.0,0.80662264048628,324.6517351587635,0.2148993278985132,0.065282721335584,False,False,5.429999828338623,4.860000133514404,7.050000190734863,1.705849463144857e+20,False,0.0025924585355344,M344-11,30665,30665,False,False
29,J002920-754008,SB30665_component_13b,7.334793,-75.668999,304.75191948539606,-41.38106494469884,B,70.43800354003906,70.56700134277344,0.0002361672611697,0.0991438973321031,0.5937067726304524,1.437012833562475,1.243620700085752,58.0,0.6499139274552996,229.86637670817896,0.4309153441602028,0.1419845368869522,False,False,5.019999980926514,4.735000133514404,156.47999572753906,1.705849463144857e+20,False,0.0007323015426811,M344-11,30665,30665,False,False
31,J012930-733309,SB30665_component_14a,22.375798,-73.552722,299.2440247244944,-43.30190214982788,A,168.4810028076172,188.8800048828125,0.0007497575059504,0.0312889415787973,0.5096116452705148,4.942768170934096,1.085753243372846,108.0,0.5761415981023312,0.0637437548200832,0.5514018184587292,0.0641684470070717,True,False,5.360000133514404,4.965000152587891,178.33999633789062,1.9939992397563825e+21,False,0.0022367487216138,M344-11,30665,30665,True,False
34,J005219-722705,SB30665_component_16a,13.079073,-72.451417,302.8388075059046,-44.6766753810812,A,72.60199737548828,72.4000015258789,0.0007845410099678,0.0191718058171458,0.2911241424799273,3.2765369739014227,1.0680747399722208,94.0,0.7769505974922934,154.99900419143313,0.2523785117268523,0.0390839164802031,True,True,5.159999847412109,4.590000152587891,49.650001525878906,4.655635125623896e+21,False,0.0010690862332633,M344-11,30665,30665,True,False
38,J011432-732142,SB30665_component_17a,18.636736,-73.361881,300.648528669234,-43.66376769323441,A,150.1999969482422,164.08700561523438,0.0005488202594101,0.0191372295188582,1.030999937456844,11.379245890419858,1.0832845511417395,92.0,0.0522846136848957,171.19925173565923,2.9510531446000634,0.4344173068586099,False,True,5.264999866485596,4.925000190734863,179.4600067138672,4.837736793791458e+21,False,-0.0035253952186238,M344-11,30665,30665,True,False
39,J003424-721143,SB30665_component_18a,8.60229,-72.195374,304.7673734834136,-44.87214018182572,B,142.58900451660156,156.822998046875,0.0005731443539488,0.0183013771831192,0.217136251314953,2.4832763007581526,1.0623367865672018,129.0,0.8452005352522487,0.7001101612646162,0.1681813599557119,0.026410764729378,True,False,5.340000152587891,4.889999866485596,18.239999771118164,2.7632180113451136e+20,False,0.0016863708922893,M344-11,30665,30665,True,False
41,J011005-722647,SB30665_component_19a,17.522761,-72.446628,300.9581329695857,-44.61006741050287,A,134.572998046875,144.52200317382812,0.000646150390555,0.0187999271984921,0.3778667182616679,5.992819041836492,1.0540363930484935,89.0,0.6761696747868258,120.77739329023032,0.391311236228589,0.0322970189915271,False,True,5.224999904632568,4.880000114440918,1.2100000381469729,3.7159985608122255e+21,False,0.0009021445726692,M344-11,30665,30665,False,False
43,J002337-735529,SB30665_component_20a,5.904427,-73.924868,305.56224378074296,-43.06101016049247,B,71.69400024414062,128.30299377441406,0.0004187689766872,0.016320072187362,0.1736535921437085,2.522355168453436,1.0493004208374463,121.0,0.8756468286937378,-0.0422127990350272,0.1327924329296601,0.0221350620921502,True,False,6.675000190734863,6.364999771118164,126.98999786376952,1.914015874189399e+21,False,0.0022678743684463,M344-11,30665,30665,True,False
44,J002335-735529,SB30665_component_20b,5.895892,-73.92477,305.5654628031906,-43.06075827841134,B,62.06100082397461,61.555999755859375,0.0006933331290095,0.0182766185110878,0.1865947234850064,1.639280885746817,1.0706990773481873,126.0,0.8841043538631809,-1.0194397912968416,0.123180175954995,0.0245849135576704,True,False,5.119999885559082,4.59499979019165,168.52000427246094,1.914015874189399e+21,False,0.0014990135303943,M344-11,30665,30665,True,False
47,J003808-735023,SB30665_component_21a,9.537239,-73.839917,304.20090829863085,-43.255575680618655,A,89.22100067138672,86.15399932861328,0.0006077690138737,0.0207257648096789,0.6026231017029837,9.591167312822888,1.0568986480813478,78.0,0.454275546378364,102.62405302059824,0.7890513346997038,0.0627020164097683,False,True,5.244999885559082,4.369999885559082,174.8000030517578,2.939045842270414e+21,False,0.0013998650387581,M344-11,30665,30665,False,False
50,J002411-735716,SB30665_component_22a,6.048999,-73.954684,305.50214422664743,-43.03735074987921,A,118.59500122070312,188.05499267578125,0.0004419169804683,0.0269017877294888,0.3360857298702285,3.481300335690722,1.0749973678830491,95.0,0.7389116380128206,98.64200784190496,0.3025769348543784,0.0418600136392127,False,True,7.195000171661377,5.230000019073486,122.73999786376952,2.2686162327547056e+21,False,0.0034911067107635,M344-11,30665,30665,False,False
51,J003120-703648,SB30665_component_23a,7.835331,-70.613363,305.348765768776,-46.42046700929848,B,126.6259994506836,131.51100158691406,0.0002825068813763,0.0493441618231024,0.3580142001405764,0.8347927340667203,1.1951251460142078,113.0,0.8371109458736314,223.1807708768253,0.1777986654565298,0.0572998278442034,False,False,5.175000190734863,4.764999866485596,165.16000366210938,6.120663352168054e+19,False,0.0019084585156532,M344-11,30665,30665,False,False
53,J002144-741500,SB30665_component_24a,5.433208,-74.249829,305.6690962780888,-42.72018681748045,B,122.13400268554688,132.3979949951172,0.0005392563645018,0.0273746063406068,0.2604260294244799,2.143208653281938,1.082853560851762,56.0,0.8224275314272821,123.92095190244608,0.1954949079115154,0.038545231144917,True,True,5.25,4.900000095367432,162.2100067138672,1.9424574056722764e+21,False,0.0014474904683643,M344-11,30665,30665,True,False
54,J002841-704515,SB30665_component_25a,7.173823,-70.754263,305.6388473771592,-46.25427036931929,B,123.927001953125,133.9429931640625,0.0002277862261441,0.0877755558199461,0.5150947951591088,1.190099680885083,1.235192397704448,103.0,0.720097602545339,-105.4599480931703,0.3283685170685906,0.1150270333727525,False,False,5.340000152587891,4.804999828338623,170.36000061035156,4.108015873524791e+19,False,0.0017489526014953,M344-11,30665,30665,False,False
56,J010030-713825,SB30665_component_26a,15.125156,-71.64045,301.9145109117233,-45.46989401274321,A,107.06300354003906,107.21900177001952,0.0005752638169768,0.0250888232070321,0.966780859549414,12.931394673583592,1.0693958417086986,94.0,0.1026149821592847,147.5164120496534,2.276771331961777,0.3243134529594282,False,True,5.255000114440918,4.525000095367432,0.8500000238418579,3.690345562923892e+21,False,-0.0013311964104359,M344-11,30665,30665,False,False
59,J002223-742825,SB30665_component_27a,5.597676,-74.47376,305.5625417073237,-42.505801310798994,B,103.0770034790039,206.74099731445312,0.0003055730680565,0.0183571108062053,0.1838458186401693,1.9697722399979103,1.0619056963911475,74.0,0.8780598777509784,-2.2249900455125897,0.1300404897783382,0.0239858649329977,True,False,7.440000057220459,6.394999980926514,123.37000274658205,1.5083645105170497e+21,False,0.0009770379921199,M344-11,30665,30665,True,False
60,J002200-742717,SB30665_component_27b,5.501364,-74.454853,305.601062356679,-42.52052097448576,B,61.14599990844727,105.66699981689452,0.0002608737388693,0.0357477440440891,0.2502235047027435,1.448625683014256,1.102189365421798,69.0,0.8519658607190544,-2.218285392443242,0.1602088225342029,0.0475820350216489,False,False,7.885000228881836,5.199999809265137,134.69000244140625,1.5083645105170497e+21,False,-0.0001956566660231,M344-11,30665,30665,False,False
61,J002215-742811,SB30665_component_27c,5.563016,-74.469733,305.5758160196672,-42.508361569161146,B,19.64699935913086,280.7829895019531,1.6682132426711443e-05,0.0249956342841995,0.1834406592786012,1.226826762857745,1.0823776067084747,90.0,0.8989369474298735,0.7078251125821698,0.1065423833107038,0.0327692869820059,False,False,24.1200008392334,14.0600004196167,84.12000274658203,1.5083645105170497e+21,False,0.0020901593062615,M344-11,30665,30665,False,False
62,J002207-742738,SB30665_component_27d,5.529126,-74.460605,305.58988623494616,-42.51598610762785,B,18.097000122070312,346.8370056152344,1.9658511119792463e-05,0.0292184124729393,0.231043746927856,1.599688262916284,1.088873635436841,71.0,0.8578298885089849,117.97265607233264,0.1533494642923493,0.0385963492711815,False,True,43.73500061035156,10.399999618530272,118.23999786376952,1.5083645105170497e+21,False,-0.0006244989902819,M344-11,30665,30665,False,False
63,J002919-722809,SB30665_component_28a,7.328972,-72.469438,305.26688062867566,-44.55838193189892,B,111.81999969482422,117.20099639892578,0.000522302028158,0.022515832338307,0.2116549184116051,1.1570216925843582,1.0981236856074537,120.0,0.8864687671958486,119.79080597009634,0.1205093856780888,0.0275899564249914,False,True,5.179999828338623,4.804999828338623,169.24000549316406,5.621565980461041e+20,False,0.0023907481907466,M344-11,30665,30665,False,False
65,J004808-741205,SB30665_component_29a,12.035518,-74.201478,303.23826529676376,-42.92481268940283,B,109.95600128173828,118.66300201416016,0.0004693735901993,0.0204524818575314,0.2090935675055516,1.5304245644797827,1.082631812242361,128.0,0.8735382447368094,125.93361397183718,0.135203367038715,0.0280439378889621,False,True,5.215000152587891,4.909999847412109,171.94000244140625,1.2839189602375814e+21,False,0.0017100051628348,M344-11,30665,30665,False,False
66,J001720-730552,SB30665_component_30a,4.335629,-73.097855,306.35503976407017,-43.80306363252325,B,106.41600036621094,107.14099884033205,0.0004709730650264,0.0387929957088369,0.2890950091359016,1.41024200799236,1.119944390719796,115.0,0.8308493815838945,82.36298793287905,0.1853067501525838,0.0457181838213394,False,False,5.050000190734863,4.735000133514404,171.44000244140625,3.839020513354074e+20,False,0.0033618087874929,M344-11,30665,30665,False,False
68,J010931-713454,SB30665_component_31a,17.38099,-71.581752,300.8963347899293,-45.47494847389716,B,100.27400207519533,145.37399291992188,0.0003732080580581,0.0231610820508232,0.1771794480658906,0.9888685387207083,1.0890855502092949,165.0,0.9119061021434044,81.0774018757163,0.0922182523844542,0.0251662813744789,False,False,6.565000057220459,5.239999771118164,62.93000030517578,2.158771548344864e+21,False,0.0020497764884397,M344-11,30665,30665,False,False
69,J005238-731244,SB30665_component_32a,13.159714,-73.212318,302.81154195445,-43.91565248661146,A,101.0510025024414,107.6999969482422,0.0004327003703887,0.0272791517928885,1.0273018559472114,11.45876298648708,1.082456168165446,53.0,0.0551543122182346,157.6126744460823,2.8976203456188783,0.5971148381775522,True,True,5.175000190734863,4.889999866485596,175.1999969482422,7.980707246345837e+21,False,-0.0034897266800863,M344-11,30665,30665,True,False
70,J001327-724831,SB30665_component_33a,3.362446,-72.808684,306.8212823002775,-44.03154966076181,B,59.04399871826172,92.93299865722656,0.0001418700494025,0.1122298102975341,0.6450338489773841,0.9365343943746368,1.3330866990284902,109.0,0.6880528500511061,120.3340393323591,0.3738896270643158,0.1537005857406171,False,False,7.034999847412109,5.309999942779541,24.26000022888184,2.011314616426544e+20,False,0.0042919301264301,M344-11,30665,30665,False,False
72,J003754-725155,SB30665_component_34a,9.478521,-72.86549,304.32128073781195,-44.22626013801917,B,90.6240005493164,97.4540023803711,0.0004437081043739,0.0293722682925571,0.2678070213632704,1.9598312059294976,1.090480504708095,83.0,0.8226734833448246,0.4248653795346181,0.195195896583741,0.0433122077932589,False,False,5.159999847412109,4.949999809265137,162.63999938964844,2.0958413098033616e+21,False,0.0015885518424664,M344-11,30665,30665,False,False
73,J003801-725210,SB30665_component_34b,9.504837,-72.86951,304.31008239911324,-44.22281644013598,B,45.055999755859375,52.59299850463867,0.0001655886223111,0.0662067894109695,0.4142376114764884,0.8812881279166132,1.2201882876575774,83.0,0.805950676181089,118.6616863360894,0.215732734153149,0.0966950941265465,False,False,5.425000190734863,5.110000133514404,155.4499969482422,2.0958413098033616e+21,False,0.0012154856982813,M344-11,30665,30665,False,False
76,J005537-743925,SB30665_component_36a,13.905956,-74.657135,302.55656881559634,-42.46806536484557,B,90.85800170898438,96.81500244140624,0.0003740696835249,0.0321186141522367,0.2158481067118808,0.748894003366994,1.12341977632511,113.0,0.9075716696132292,161.90023189234546,0.096982741181057,0.0368397332975852,False,False,5.199999809265137,4.864999771118164,174.27999877929688,4.484443288948844e+20,False,0.0020522868096961,M344-11,30665,30665,False,False
77,J001157-734957,SB30665_component_37a,2.989902,-73.832687,306.6740582808626,-43.00753375147301,B,86.63300323486328,119.65799713134766,0.0003651448789197,0.040047393050182,0.2917812904516413,0.7567657890102811,1.1660900344695486,106.0,0.8743087440179073,130.90006386895394,0.1343217116810491,0.045465178783977,False,True,6.244999885559082,5.25,129.60000610351562,1.8335208668172868e+20,False,0.0019438469041418,M344-11,30665,30665,False,False
78,J001156-734953,SB30665_component_37b,2.984538,-73.831622,306.67635974635044,-43.0082636372791,B,17.642000198364258,15.814000129699709,0.0004959872946151,0.0478790584579521,0.3320875102597128,0.9189412315698688,1.173057676179085,131.0,0.8409701659193721,130.90041828745308,0.1731990941694927,0.0562059401125735,False,False,4.860000133514404,4.380000114440918,40.68000030517578,1.8335208668172868e+20,False,0.0042188592628212,M344-11,30665,30665,False,False
79,J002907-735349,SB30665_component_38a,7.280587,-73.896955,305.0496637464756,-43.139415451722925,A,74.18099975585938,74.87300109863281,0.0003860100385769,0.0273448515450884,0.8649791366789574,7.532314316485868,1.1013768486010498,140.0,0.2363977119220924,106.4946022865033,1.4422396723375908,0.1421744399166697,True,True,5.204999923706055,4.605000019073486,10.890000343322754,2.29280927670732e+21,False,0.0027056722410815,M344-11,30665,30665,True,False
82,J005557-722604,SB30665_component_39a,13.988019,-72.434497,302.45286835318814,-44.68955510778362,A,91.0019989013672,96.21499633789062,0.0003671959495433,0.0328011466222829,0.9162626144522468,7.300665820245708,1.1103842311320906,63.0,0.1941216166798438,153.04996509381692,1.6392704262300393,0.2468849830784729,False,True,5.21999979019165,4.809999942779541,1.75,6.412927451277939e+21,False,0.0012286178310327,M344-11,30665,30665,False,False
86,J013453-722443,SB30665_component_41a,23.721923,-72.412034,298.36607196432897,-44.328992177126594,B,70.88600158691406,71.75,0.0002737208958977,0.1003210742375547,0.5669766296466551,1.158804979728697,1.2626344829526512,77.0,0.6956578533059962,168.3394958630568,0.3628973295953253,0.1427368621257632,False,False,5.125,4.690000057220459,27.739999771118164,7.073151061852861e+20,False,-0.0050179191577153,M344-06,30665,30665,False,False
90,J004957-723554,SB30665_component_43a,12.488044,-72.598387,303.0877408301689,-44.52941466073938,A,72.24299621582031,91.99299621582033,0.0003517264199994,0.0349220797957562,0.5930335375063019,3.732007176015141,1.1253238880346963,80.0,0.5322903505283946,156.89217922101022,0.630566166849769,0.0956891704824942,True,True,5.760000228881836,5.25,126.91000366210938,4.815617270551048e+21,False,0.0005406954565653,M344-11,30665,30665,True,False
93,J004937-700131,SB30665_component_45a,12.407117,-70.025554,303.1589314114131,-47.101899600229984,B,78.96700286865234,82.22000122070312,0.0003558557605174,0.0548764884835674,0.3361533691627042,0.9940874595062972,1.1685750379504067,86.0,0.8324216687877025,341.4455726894068,0.1834161531007286,0.063854410368044,False,False,5.15500020980835,4.795000076293945,4.710000038146973,1.6652498694715693e+20,False,0.0010062977162418,M344-11,30665,30665,False,False
95,J003939-714141,SB30665_component_46a,9.915838,-71.694789,304.2482490563259,-45.40335606279209,B,70.77999877929688,74.86900329589844,0.000396321998645,0.0248821613717346,0.2745146472914235,1.08846695354197,1.1314431367112876,133.0,0.8569284894198641,-2.2576037813363072,0.1544008067832226,0.033545830394942,True,False,5.269999980926514,4.760000228881836,168.0399932861328,3.952436789804688e+20,False,0.0016409523899746,M344-11,30665,30665,True,False
97,J005608-703845,SB30665_component_47a,14.034099,-70.645896,302.3666711209754,-46.4771982003157,B,74.70800018310547,86.7979965209961,0.0003151763299683,0.0411559897530141,0.2312793410323139,0.92589124823393,1.1200895124500931,70.0,0.8888101714177792,142.07927778961135,0.1178715967327982,0.0494246130785563,False,False,5.579999923706055,4.945000171661377,162.0800018310547,4.480536452015625e+20,False,0.00334471383714,M344-11,30665,30665,False,False
101,J003947-713734,SB30665_component_49a,9.948085,-71.626198,304.24015152667124,-45.47246026653493,B,71.5199966430664,91.47200012207033,0.0002837729752638,0.0439554733247118,0.231325079315408,0.9597501416510626,1.1180380469933375,56.0,0.8867129676779295,360.54766243256825,0.1202339480522414,0.048384621868718,False,False,6.110000133514404,4.96999979019165,132.77000427246094,3.80327815778144e+20,False,0.0014682535026129,M344-11,30665,30665,False,False
103,J011357-702530,SB30665_component_50a,18.489136,-70.425067,300.1909929217246,-46.58315803744586,B,78.41000366210938,83.25199890136719,0.0002354113443643,0.1303309302535605,0.7758437239617462,0.9529838508443688,1.3972606960504623,53.0,0.6214169720887162,-38.88131757058161,0.4757529697332899,0.1905188797356286,False,False,5.235000133514404,4.815000057220459,176.35000610351562,2.3120513497480125e+20,False,0.001574940034787,M344-06,30665,30665,False,False
104,J003252-722932,SB30665_component_51a,8.21895,-72.492277,304.8896358428481,-44.565347946989,B,70.86299896240234,71.41100311279297,0.000333220975313,0.038714457468931,0.2889409209944783,1.1692854248703228,1.133196359354948,129.0,0.8442554383604696,0.5730092809026391,0.1693001780902193,0.0553072489936309,False,False,5.039999961853027,4.744999885559082,175.41000366210938,6.072200458658778e+20,False,0.0010550811175432,M344-11,30665,30665,False,False
