comp_name,sbid,uniq_name,ra,dec,glon,glat,in_bridge,rating,flux_peak,mean_cont,sd_cont,opacity_range,max_s_max_n,max_noise,num_chan_noise,semi_maj_axis,semi_min_axis,pa,min_opacity,vel_min_opacity,peak_tau,e_peak_tau,n_h,ew,sigew,ewfit,sigewfit,nhicnm,signhicnm,nhiwnm,signhiwnm,fcnm,sigfcnm,Rfactor,sigRfactor,nhi,signhi,nhi_thin,signhi_thin,ncnm,tsky,flux_int,ra_hr,tau_noise_per_channel
J001424-733911,30665,J001424-733911-30665,3.601159,-73.653109,306.4943353680667,-43.21804746655667,0,A,184.3159942626953,0.0012850600696543,0.0142114661092843,0.2238624501122638,3.712036240270635,1.0475086435454508,91.0,5.545000076293945,4.164999961853027,163.32000732421875,0.823646193433187,-1.9134423941474816,0.1940142181827949,0.02026242352607,2.490386822409992e+20,0.8785005891366531,0.5511545144018576,0.5511545144018576,0.0535174515328279,0.9698271145574768,0.1376381659368096,1.7606640591500768,0.2641030810959615,0.3559236881385955,0.0634806709627552,1.0320378355862667,0.1232677537201881,2.730491173707554,0.2978165579124652,2.646857393099014,0.1105656967492125,2,3.5553419567852123,179.48899841308594,0.24007726666666668,0.014620820871427676
J002144-741500,30665,J002144-741500-30665,5.433208,-74.249829,305.6690962780888,-42.72018681748045,0,B,122.13400268554688,0.0005392563645018,0.0273746063406068,0.2604260294244799,2.143208653281938,1.082853560851762,56.0,5.25,4.900000095367432,162.2100067138672,0.8224275314272821,123.92095190244608,0.1954949079115154,0.038545231144917,1.9424574056722764e+21,1.0214573418583448,0.6339192667119359,0.6339192667119359,0.0550789734407315,0.8155844804010052,0.1274266209361572,2.348561471625913,0.3790082016805656,0.2569697217662046,0.0510811686370088,1.0036086472202868,0.1391900016404569,3.1641459520269186,0.3998559248833802,3.152546592921088,0.1790595283478998,2,3.561425012980984,132.3979949951172,0.36221386666666666,0.028465562362218554
J002223-742825,30665,J002223-742825-30665,5.597676,-74.47376,305.5625417073237,-42.505801310798994,0,B,103.0770034790039,0.0003055730680565,0.0183571108062053,0.1838458186401693,1.9697722399979103,1.0619056963911475,74.0,7.440000057220459,6.394999980926514,123.37000274658205,0.8780598777509784,-2.2249900455125897,0.1300404897783382,0.0239858649329977,1.5083645105170497e+21,0.8123749579983645,0.5263855066089619,0.5263855066089619,0.0540597293122492,0.8647117482570544,0.0830730759658651,2.0446411109797595,0.2352304029296396,0.3002663601314763,0.0382306154761944,1.0298054561321708,0.0938710474577673,2.9093528592368134,0.249468391610783,2.8237517491995936,0.0857824049691668,2,3.561425012980984,206.74099731445312,0.37317839999999997,0.019057160987885586
J002248-734007,30665,J002248-734007-30665,5.700254,-73.668709,305.6921770836646,-43.30572836425145,0,B,49.62699890136719,0.0002374443111631,0.0551885084404108,0.4420060778670684,1.120147289056514,1.208478948678969,87.0,5.0,4.764999866485596,13.43000030517578,0.7664728708119006,-1.8932419396097973,0.2659559748884161,0.0814832838231852,1.1306049924526716e+21,1.3190888143802233,0.6571438192687777,0.6571438192687777,0.049505088083997,1.070523557661931,0.1150792280108347,2.0849369946828764,0.1802440754465451,0.3425187411991076,0.0431216252276222,1.059103708602337,0.0843940610898301,3.1554605523448074,0.2138484403804468,2.971679087098555,0.1254771921924367,1,3.5644665700853086,49.803001403808594,0.38001693333333336,0.05762249896548022
J002335-735529,30665,J002335-735529-30665,5.895892,-73.92477,305.5654628031906,-43.06075827841134,0,B,62.06100082397461,0.0006933331290095,0.0182766185110878,0.1865947234850064,1.639280885746817,1.0706990773481873,126.0,5.119999885559082,4.59499979019165,168.52000427246094,0.8841043538631809,-1.0194397912968416,0.123180175954995,0.0245849135576704,1.914015874189399e+21,0.2732857236999766,0.3198619613163784,0.3198619613163784,0.0289303917095092,0.4197890178131216,0.0765167641434338,2.215657010120283,0.2218130833037012,0.1600199581873542,0.0323755064008182,0.933792886989077,0.0939140734987423,2.635446027933405,0.2346398498117414,2.824470038316589,0.128896564391107,1,3.5675081271896327,61.555999755859375,0.39305946666666663,0.01876700488771823
J002337-735529,30665,J002337-735529-30665,5.904427,-73.924868,305.56224378074296,-43.06101016049247,0,B,71.69400024414062,0.0004187689766872,0.016320072187362,0.1736535921437085,2.522355168453436,1.0493004208374463,121.0,6.675000190734863,6.364999771118164,126.98999786376952,0.8756468286937378,-0.0422127990350272,0.1327924329296601,0.0221350620921502,1.914015874189399e+21,0.3266377213434496,0.3359770916207543,0.3359770916207543,0.0255945235221991,0.475308025903704,0.0757898293964241,2.383789647041247,0.3131750448023669,0.1711638837772565,0.0310737806193271,1.00162478772287,0.1231508485910426,2.8590976729449515,0.3222153114408185,2.8577309609734494,0.1258403484519421,1,3.5675081271896327,128.30299377441406,0.3936284666666667,0.016776320581406455
J002907-735349,30665,J002907-735349-30665,7.280587,-73.896955,305.0496637464756,-43.139415451722925,0,A,74.18099975585938,0.0003860100385769,0.0273448515450884,0.8649791366789574,7.532314316485868,1.1013768486010498,140.0,5.204999923706055,4.605000019073486,10.890000343322754,0.2363977119220924,106.4946022865033,1.4422396723375908,0.1421744399166697,2.29280927670732e+21,-0.3688875931890372,0.4366574538539202,0.4366574538539202,0.0480977849434793,0.4085683710500742,0.0683897603504393,2.816987173206883,1.096654018202508,0.1262416577741045,0.0428408323627272,1.0026724647106215,0.3425809253383835,3.225555544256957,1.0987844169628986,3.2180442125365567,0.1203377027422895,2,3.5675081271896327,74.87300109863281,0.48537246666666667,0.028314517229267526
J003412-733314,30665,J003412-733314-30665,8.55182,-73.554108,304.6123308214911,-43.5178787522379,0,B,29.045000076293945,0.0001785122054215,0.0285081150556196,0.274576986359042,1.0603905458364038,1.1332645341990633,106.0,6.534999847412109,6.224999904632568,115.01000213623048,0.8586875478400212,107.62276235442306,0.1523501625850129,0.0443124231020776,1.4904173019161672e+21,0.4307231923914279,0.3064543005323167,0.3064543005323167,0.0430973814568869,0.2333708199826444,0.0537854495086886,2.8623763417332,0.543439562942605,0.0759113022275252,0.0213319884294275,1.016721656327501,0.181741045107704,3.095747161715845,0.5460947107875165,3.046042107701431,0.092251645813383,1,3.58879891089415,49.78200149536133,0.5701213333333333,0.029657676549976676
J003414-733327,30665,J003414-733327-30665,8.560384,-73.557659,304.60855105258173,-43.51456609791139,0,B,30.63999938964844,3.163976111309461e-05,0.0196186892853478,0.1941138792169592,2.150543069753559,1.061612831476747,79.0,16.510000228881836,13.699999809265137,162.64999389648438,0.8674989522597878,108.5985236947656,0.1421409749315492,0.0296852648456319,1.4904173019161672e+21,0.8600597902742573,0.3115097024209714,0.3115097024209714,0.0328914213835413,0.7094562060006429,0.1406573598437825,2.286040035934966,0.6912321088674034,0.2370047491688504,0.0740870034915217,1.0110881345775082,0.2424100657516423,2.995496241935608,0.7053979878107827,2.961327463333142,0.1204907363168733,1,3.58879891089415,291.968994140625,0.5706922666666667,0.02040774821196116
J003424-721143,30665,J003424-721143-30665,8.60229,-72.195374,304.7673734834136,-44.87214018182572,0,B,142.58900451660156,0.0005731443539488,0.0183013771831192,0.217136251314953,2.4832763007581526,1.0623367865672018,129.0,5.340000152587891,4.889999866485596,18.239999771118164,0.8452005352522487,0.7001101612646162,0.1681813599557119,0.026410764729378,2.7632180113451136e+20,0.3986213430766362,0.4326576895540848,0.4326576895540848,0.0434147172985538,0.9361081095358588,0.1092625799617411,1.9732919749379956,0.3069290690384132,0.3203175574018109,0.0521251279463454,1.0644418859683422,0.1351408886943498,2.9094000844738543,0.3257971221491726,2.75444657227804,0.142827307507884,2,3.546217285472239,156.822998046875,0.573486,0.018506346394690232
