comp_name,sbid,uniq_name,ra,dec,glon,glat,in_bridge,rating,flux_peak,mean_cont,sd_cont,opacity_range,max_s_max_n,max_noise,num_chan_noise,semi_maj_axis,semi_min_axis,pa,taucnm,sigtaucnm,sigtaunoise,cencnm,sigcencnm,widcnm,sigwidcnm,tscnm,sigtscnm,tbcnm,sigtbcnm,nhicnm_cpn,signhicnm_cpn,fcnm_cpn,sigfcnm_cpn,nhi_tot,signhi_tot,tsky,nhicnm_avg,signhicnm_avg
J005611-710706,30665,J005611-710706-30665,14.047482,-71.118446,302.37846182308533,-46.004698239991775,0,A,519.1300048828125,0.0033243498466795,0.0044764807964383,0.1207429020014311,5.142488877944935,1.0196569996951834,144.0,4.800000190734863,4.215000152587891,33.869998931884766,0.09498318591574417,0.00216215236474611,0.004564593597776182,-1.1403775513301593,0.02720808022783077,2.5476274235110385,0.06301187278658014,52.5979932182668,4.69169524918565,4.792556742627968,0.49291227657754166,0.2581484324294932,0.01767096683893926,0.11561392893477283,0.009510310735527843,2.232848886012131,0.10185317755768314,3.5431757283679146,0.2469037802607144,0.023535527767653205
J011049-731427,30665,J011049-731427-30665,17.707468,-73.240921,300.99659195266406,-43.8143862223808,0,A,457.4809875488281,0.0016333184903487,0.0051863074859997,0.4722190573993812,23.40724717233265,1.0193474935565316,119.0,5.789999961853027,5.349999904632568,54.86000061035156,0.04040620675874767,0.0020423909574288452,0.0052902778944601495,0.974041458116144,0.09548636285886034,3.6429938316635364,0.23888803748896512,184.2756057665503,22.602077937462795,7.2668170295604835,1.0932655705093721,0.5280905511666,0.06131116347793937,0.19108927407569842,0.029764769059235172,2.7635802884331504,0.2869759655497179,3.573591183385405,0.5261993195028744,0.07786843348751535
J011049-731427,30665,J011049-731427-30665,17.707468,-73.240921,300.99659195266406,-43.8143862223808,0,A,457.4809875488281,0.0016333184903487,0.0051863074859997,0.4722190573993812,23.40724717233265,1.0193474935565316,119.0,5.789999961853027,5.349999904632568,54.86000061035156,0.014090262253753066,0.0020402093801728384,0.0052902778944601495,-4.196396772551921,0.24003855033277985,3.019617553456971,0.5866493655488313,175.37138937635086,68.34257341542184,2.3469036882469925,1.0932655705093721,0.14528068685195272,0.05410123145601097,0.052569736243965465,0.02032337401687977,2.7635802884331504,0.2869759655497179,3.573591183385405,0.1447457021543523,0.06642201562557686
J004048-714600,30665,J004048-714600-30665,10.200474,-71.766489,304.1151611034277,-45.337318551206025,0,A,428.4500122070313,0.0020563312275221,0.0085730807768443,0.1133976599330949,3.477933903210494,1.0253236564862631,76.0,5.230000019073486,4.90500020980835,175.60000610351562,0.07674759624520344,0.002788914604854501,0.00879213758815885,0.3170749766190804,0.09708838287534598,5.79201476584295,0.22270525685597153,119.64032723622054,21.67916063262198,8.750899868001117,0.8097742070655769,1.0386346508063502,0.15356713752599466,0.34829903046220967,0.10903090615890539,2.982019931057608,0.8227990974356053,3.5644665700853086,1.031686984497005,0.19474957687753658
J005732-741242,30665,J005732-741242-30665,14.385728,-74.211897,302.36501052258194,-42.90963353176277,0,A,428.031005859375,0.0017202206924216,0.0082023465894222,0.5149693610273653,23.85117980160262,1.0207221292968214,65.0,5.230000019073486,4.894999980926514,175.50999450683594,0.053298341432691576,0.002950150473498146,0.008431984243179157,0.364398824914053,0.1153747048330858,4.436012166059166,0.2663507246858874,77.72210867935397,9.762151548918698,3.9685985662639096,0.6433732923043327,0.35904966964263757,0.03850119182711646,0.1312180515383183,0.015583328547271123,2.7362825879013135,0.139664583742854,3.4853863754372583,0.3564732248511241,0.05340574309643599
J004741-753010,30665,J004741-753010-30665,11.920932,-75.502942,303.24620369143616,-41.623018167183794,0,A,305.75299072265625,0.0013779874872586,0.0122830046960717,0.2836959017394412,8.138545929778989,1.0310438776496145,90.0,5.264999866485596,4.940000057220459,171.57000732421875,0.2502279527802061,0.006429589510977961,0.012770733339846964,-0.9908795587150037,0.035322992350788354,3.0925819827002474,0.07934707599121743,56.806365417008976,4.810934675705781,12.278082608269596,0.7698294907405003,0.8687984515946853,0.05491613740060354,0.23747288678086878,0.040371084080836506,3.6585164031647133,0.5773688068343835,3.4732202050328373,0.8527661720174956,0.07857919589392898
J001424-733911,30665,J001424-733911-30665,3.601159,-73.653109,306.4943353680667,-43.21804746655667,0,A,184.3159942626953,0.0012850600696543,0.0142114661092843,0.2238624501122638,3.712036240270635,1.0475086435454508,91.0,5.545000076293945,4.164999961853027,163.32000732421875,0.09073388021625468,0.01416276303154732,0.014662134625852651,-2.0457760297490517,0.09447057971003558,1.604500812279876,0.28361137499397565,39.22802600929496,16.33248721942574,9.751172737374462,0.7984553916354094,0.10436867466792345,0.04707836771215832,0.03822340671631182,0.017738600787034292,2.730491173707554,0.2978165579124652,3.5553419567852123,0.11078521288073777,0.05300973437519192
J001424-733911,30665,J001424-733911-30665,3.601159,-73.653109,306.4943353680667,-43.21804746655667,0,A,184.3159942626953,0.0012850600696543,0.0142114661092843,0.2238624501122638,3.712036240270635,1.0475086435454508,91.0,5.545000076293945,4.164999961853027,163.32000732421875,0.09909570042336903,0.012114458229513146,0.014662134625852651,-1.02433119692662,0.1801424952243324,4.9634825474082795,0.33827741062692557,92.3649822075701,12.186470251715003,10.372668786441485,0.7984553916354094,0.8654584398895536,0.12933635226032766,0.31696071689343885,0.0586415906415595,2.730491173707554,0.2978165579124652,3.5553419567852123,0.8813016406813429,0.16951634672164617
J003824-742211,30665,J003824-742211-30665,9.602613,-74.369822,304.1259054058585,-42.72821417943667,0,A,234.7469940185547,0.0012718974002182,0.0095953575077918,0.5398680056028031,13.739142628340074,1.0366281824673274,79.0,5.110000133514404,4.494999885559082,4.599999904632568,0.08979357026348342,0.0038185541082594917,0.009851254714185022,-1.1530544882846334,0.07800359061429096,3.9476277594481197,0.17898734212599288,83.94990858129248,10.997950763633407,7.053374022122927,0.8964732503717406,0.5867660909680683,0.06375010568993121,0.20472455306473347,0.026852950125533053,2.866124664502426,0.21062627661821845,3.503635660050328,0.5772681259852628,0.0837074876735438
J004330-704147,30665,J004330-704147-30665,10.877976,-70.696568,303.881909521917,-46.417060470492814,0,B,208.0110015869141,0.0007526796856836,0.0113468790305791,0.0802318213013932,1.1832639374747282,1.0367485670991266,114.0,6.15500020980835,5.75,129.22000122070312,0.043046813893347656,0.00562457385191913,0.011566689414200061,-2.794034845495957,0.1381326363517932,2.2038067822113057,0.3217303468208132,65.76993658419627,22.157281178823975,2.356820022667088,1.0764013716572962,0.11542723465468055,0.0390830711772564,0.05108075288016645,0.020470617832552346,2.259701123150408,0.4844103683682769,3.546217285472239,0.12103692117719358,0.04717032421600144
