comp_name,sbid,ra,dec,glon,glat,widwnm,sigwidwnm,tdwnm,sigtdwnm,nhicpn_wnm,signhicpn_wnm
J005611-710706,30665,14.047482,-71.118446,302.37846182308533,-46.004698239991775,15.816735698097213,0.54847617092221,5468.697141216096,379.2754870789528,1.8393998018378837,0.0807479735717458
J011049-731427,30665,17.707468,-73.240921,300.99659195266406,-43.8143862223808,24.376619244313837,2.202789396609263,12989.639708000022,2347.6135330974207,2.0902090504145976,0.2750803569706812
J004048-714600,30665,10.200474,-71.766489,304.1151611034277,-45.337318551206025,14.763122945831201,1.851916175488835,4764.382608626088,1195.3076935695155,1.9433852802512577,0.8083411959147689
J005732-741242,30665,14.385728,-74.211897,302.36501052258194,-42.90963353176277,19.80216580731547,0.7621533150948362,8571.869346636648,659.8347577400274,2.377232918258676,0.13425294849632263
J004741-753010,30665,11.920932,-75.502942,303.24620369143616,-41.623018167183794,7.12112982100367,2.3017075952496757,1108.5313098170686,716.6039658067632,2.237263777885496,0.4548278477354362
J004741-753010,30665,11.920932,-75.502942,303.24620369143616,-41.623018167183794,17.41095766285189,2.6845053490655246,6626.672025684393,2043.4644485303702,0.5524541736845322,0.35138381562432347
J001424-733911,30665,3.601159,-73.653109,306.4943353680667,-43.21804746655667,16.624054490908396,1.351822617552634,6041.211843486879,982.5096292746995,1.7606640591500768,0.2641030810959615
J003824-742211,30665,9.602613,-74.369822,304.1259054058585,-42.72821417943667,16.727630645442666,1.0016850840349714,6116.725886446307,732.5643677161327,2.2793585735343576,0.20074698609587366
J004330-704147,30665,10.877976,-70.696568,303.881909521917,-46.417060470492814,10.50339594162188,1.4610000366466422,2411.62419305963,670.9035923278708,1.091642342004788,0.41595776623914676
J004330-704147,30665,10.877976,-70.696568,303.881909521917,-46.417060470492814,26.34258000630068,5.046552915681981,15169.34305754938,5812.102870542365,1.052631546490939,0.2451633235934416
J012930-733309,30665,22.375798,-73.552722,299.2440247244944,-43.30190214982788,23.067412668147732,0.9112180197836744,11631.826824649328,918.9700083060659,2.633537327568103,0.1346361069971886
J005219-722705,30665,13.079073,-72.451417,302.8388075059046,-44.6766753810812,15.251747309950657,1.1757523009465929,5084.981300703994,783.9991501396651,2.552558685674633,0.35040504953176965
J011432-732142,30665,18.636736,-73.361881,300.648528669234,-43.66376769323441,6.460205475433071,1.547958565996106,912.3108095960652,437.2057012537673,1.1201061082402473,0.23907511202492815
J011432-732142,30665,18.636736,-73.361881,300.648528669234,-43.66376769323441,22.95123584530356,2.959399804382668,11514.95669843269,2969.5447191171397,1.1964009011979417,0.3329566310429925
J003424-721143,30665,8.60229,-72.195374,304.7673734834136,-44.87214018182572,13.691595647910614,1.2855278421839371,4097.871039695443,769.5125463351868,1.9732919749379954,0.3069290690384132
J002337-735529,30665,5.904427,-73.924868,305.56224378074296,-43.06101016049247,12.507704203864153,0.8837249825746935,3419.836644906751,483.2533661125172,1.6783986592858349,0.2702854397474472
J002335-735529,30665,5.895892,-73.92477,305.5654628031906,-43.06075827841134,11.762500703460328,0.7437125662769417,3024.4714023840565,382.4590442126904,2.215657010120283,0.2218130833037012
J002144-741500,30665,5.433208,-74.249829,305.6690962780888,-42.72018681748045,13.63363265010972,1.2468947553402272,4063.248031745691,743.2271046835681,2.348561471625913,0.37900820168056565
J002223-742825,30665,5.597676,-74.47376,305.5625417073237,-42.505801310798994,15.511571332279983,0.9696690935248934,5259.709355993527,657.5965122008035,1.8981509977150832,0.20397030536238597
J005238-731244,30665,13.159714,-73.212318,302.81154195445,-43.91565248661146,9.435698587709762,0.9156084217230659,1946.248435341041,377.71479061120056,1.5936414783834802,0.35916827314014516
J002907-735349,30665,7.280587,-73.896955,305.0496637464756,-43.139415451722925,8.989958665477308,1.8135898458131792,1766.7111398008135,712.8151536295561,1.2942099177994377,0.6295251533854226
